  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.4218, 'grad_norm': 20357476.0, 'learning_rate': 0.00023600764087870107, 'epoch': 0.01}
{'loss': 26.496, 'grad_norm': 14424094.0, 'learning_rate': 0.00023734479465138493, 'epoch': 0.01}
{'loss': 27.1821, 'grad_norm': 3392305.75, 'learning_rate': 0.00023868194842406875, 'epoch': 0.01}
{'loss': 27.3727, 'grad_norm': 2323450.0, 'learning_rate': 0.00024001910219675261, 'epoch': 0.01}
{'loss': 27.9855, 'grad_norm': 8278702.5, 'learning_rate': 0.00024135625596943648, 'epoch': 0.01}
{'loss': 27.3155, 'grad_norm': 3144899.0, 'learning_rate': 0.00024269340974212032, 'epoch': 0.01}
{'loss': 27.3343, 'grad_norm': 4243264.5, 'learning_rate': 0.0002440305635148042, 'epoch': 0.01}
{'loss': 27.0083, 'grad_norm': 2618771.5, 'learning_rate': 0.00024536771728748806, 'epoch': 0.01}
{'loss': 27.8199, 'grad_norm': 8312918.5, 'learning_rate': 0.00024670487106017195, 'epoch': 0.01}
{'loss': 27.5642, 'grad_norm': 2387248.75, 'learning_rate': 0.00024804202483285574, 'epoch': 0.01}
{'loss': 27.1428, 'grad_norm': 9005176.0, 'learning_rate': 0.00024937917860553963, 'epoch': 0.01}
{'loss': 26.6198, 'grad_norm': 3440098.0, 'learning_rate': 0.00025071633237822347, 'epoch': 0.01}
{'loss': 27.3036, 'grad_norm': 9619820.0, 'learning_rate': 0.00025205348615090737, 'epoch': 0.01}
{'loss': 28.2089, 'grad_norm': 3655571.25, 'learning_rate': 0.0002533906399235912, 'epoch': 0.01}
{'loss': 27.0414, 'grad_norm': 4904785.5, 'learning_rate': 0.00025472779369627505, 'epoch': 0.01}
{'loss': 27.4417, 'grad_norm': 7638263.0, 'learning_rate': 0.00025606494746895894, 'epoch': 0.01}
{'loss': 27.619, 'grad_norm': 4005797.25, 'learning_rate': 0.0002574021012416428, 'epoch': 0.01}
{'loss': 27.5452, 'grad_norm': 2574923.0, 'learning_rate': 0.0002587392550143266, 'epoch': 0.01}
{'loss': 27.9587, 'grad_norm': 19663308.0, 'learning_rate': 0.0002600764087870105, 'epoch': 0.01}
{'loss': 27.1196, 'grad_norm': 6828240.0, 'learning_rate': 0.00026141356255969436, 'epoch': 0.01}
{'loss': 27.5586, 'grad_norm': 4998242.0, 'learning_rate': 0.00026275071633237825, 'epoch': 0.01}
{'loss': 26.3333, 'grad_norm': 3952395.25, 'learning_rate': 0.0002640878701050621, 'epoch': 0.01}
{'loss': 27.3121, 'grad_norm': 10486804.0, 'learning_rate': 0.00026542502387774593, 'epoch': 0.01}
{'loss': 26.9895, 'grad_norm': 20042142.0, 'learning_rate': 0.0002667621776504298, 'epoch': 0.01}
{'loss': 27.4166, 'grad_norm': 3630462.75, 'learning_rate': 0.0002680993314231136, 'epoch': 0.01}
{'loss': 27.1846, 'grad_norm': 4521331.0, 'learning_rate': 0.0002694364851957975, 'epoch': 0.01}
{'loss': 27.1304, 'grad_norm': 9156550.0, 'learning_rate': 0.0002707736389684814, 'epoch': 0.01}
{'loss': 27.6191, 'grad_norm': 6598744.0, 'learning_rate': 0.00027211079274116524, 'epoch': 0.01}
{'loss': 27.6788, 'grad_norm': 2573649.75, 'learning_rate': 0.0002734479465138491, 'epoch': 0.01}
{'loss': 26.644, 'grad_norm': 24557212.0, 'learning_rate': 0.0002747851002865329, 'epoch': 0.01}
{'loss': 27.7076, 'grad_norm': 3809523.5, 'learning_rate': 0.0002761222540592168, 'epoch': 0.01}
{'loss': 27.2008, 'grad_norm': 4236721.5, 'learning_rate': 0.00027745940783190066, 'epoch': 0.01}
{'loss': 27.1164, 'grad_norm': 8943922.0, 'learning_rate': 0.0002787965616045845, 'epoch': 0.01}
{'loss': 27.1706, 'grad_norm': 10358825.0, 'learning_rate': 0.0002801337153772684, 'epoch': 0.01}
{'loss': 27.657, 'grad_norm': 26828052.0, 'learning_rate': 0.00028147086914995223, 'epoch': 0.01}
{'loss': 27.2415, 'grad_norm': 3626266.75, 'learning_rate': 0.0002828080229226361, 'epoch': 0.01}
{'loss': 27.3344, 'grad_norm': 2169727.75, 'learning_rate': 0.00028414517669531997, 'epoch': 0.01}
{'loss': 27.1571, 'grad_norm': 5232067.5, 'learning_rate': 0.0002854823304680038, 'epoch': 0.01}
{'loss': 27.2042, 'grad_norm': 7958706.0, 'learning_rate': 0.0002868194842406877, 'epoch': 0.01}
{'loss': 27.2638, 'grad_norm': 3252611.25, 'learning_rate': 0.00028815663801337154, 'epoch': 0.01}
{'loss': 27.3563, 'grad_norm': 7180603.5, 'learning_rate': 0.0002894937917860554, 'epoch': 0.01}
{'loss': 26.9439, 'grad_norm': 3822175.0, 'learning_rate': 0.0002908309455587393, 'epoch': 0.01}
{'loss': 27.5443, 'grad_norm': 2831555.0, 'learning_rate': 0.0002921680993314231, 'epoch': 0.01}
{'loss': 27.5666, 'grad_norm': 9683667.0, 'learning_rate': 0.00029350525310410696, 'epoch': 0.01}
{'loss': 26.574, 'grad_norm': 10223403.0, 'learning_rate': 0.0002948424068767908, 'epoch': 0.01}
{'loss': 27.5472, 'grad_norm': 8642318.0, 'learning_rate': 0.0002961795606494747, 'epoch': 0.01}
{'loss': 26.9488, 'grad_norm': 22003660.0, 'learning_rate': 0.00029751671442215853, 'epoch': 0.01}
{'loss': 27.425, 'grad_norm': 2139582.0, 'learning_rate': 0.0002988538681948424, 'epoch': 0.01}
{'loss': 27.2479, 'grad_norm': 6342211.5, 'learning_rate': 0.00030019102196752627, 'epoch': 0.01}
{'loss': 27.938, 'grad_norm': 2152558.75, 'learning_rate': 0.0003015281757402101, 'epoch': 0.01}
{'loss': 27.6023, 'grad_norm': 45119604.0, 'learning_rate': 0.000302865329512894, 'epoch': 0.01}
{'loss': 27.8529, 'grad_norm': 2814086.25, 'learning_rate': 0.00030420248328557784, 'epoch': 0.01}
{'loss': 28.4155, 'grad_norm': 3213394.0, 'learning_rate': 0.0003055396370582617, 'epoch': 0.01}
