  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 20.6788, 'grad_norm': 4384827.0, 'learning_rate': 9.437279078439875e-06, 'epoch': 0.18}
{'loss': 20.5962, 'grad_norm': 2675630.75, 'learning_rate': 9.437065095275429e-06, 'epoch': 0.18}
{'loss': 19.9362, 'grad_norm': 18991672.0, 'learning_rate': 9.436851073860448e-06, 'epoch': 0.18}
{'loss': 19.0734, 'grad_norm': 2122001.75, 'learning_rate': 9.436637014196779e-06, 'epoch': 0.18}
{'loss': 20.7194, 'grad_norm': 4134998.25, 'learning_rate': 9.436422916286265e-06, 'epoch': 0.18}
{'loss': 21.1337, 'grad_norm': 3210558.0, 'learning_rate': 9.436208780130751e-06, 'epoch': 0.18}
{'loss': 20.3788, 'grad_norm': 41433704.0, 'learning_rate': 9.435994605732084e-06, 'epoch': 0.18}
{'loss': 20.4348, 'grad_norm': 7679558.5, 'learning_rate': 9.435780393092111e-06, 'epoch': 0.18}
{'loss': 20.6887, 'grad_norm': 19132648.0, 'learning_rate': 9.43556614221268e-06, 'epoch': 0.18}
{'loss': 20.2026, 'grad_norm': 5281400.5, 'learning_rate': 9.435351853095633e-06, 'epoch': 0.18}
{'loss': 20.442, 'grad_norm': 5723917.5, 'learning_rate': 9.435137525742822e-06, 'epoch': 0.18}
{'loss': 20.0065, 'grad_norm': 2355423.5, 'learning_rate': 9.434923160156093e-06, 'epoch': 0.18}
{'loss': 20.4239, 'grad_norm': 4051259.0, 'learning_rate': 9.434708756337294e-06, 'epoch': 0.18}
{'loss': 20.1791, 'grad_norm': 6116512.0, 'learning_rate': 9.434494314288274e-06, 'epoch': 0.18}
{'loss': 20.3867, 'grad_norm': 5297499.5, 'learning_rate': 9.43427983401088e-06, 'epoch': 0.18}
{'loss': 20.6711, 'grad_norm': 22102376.0, 'learning_rate': 9.434065315506962e-06, 'epoch': 0.18}
{'loss': 21.5261, 'grad_norm': 11604890.0, 'learning_rate': 9.43385075877837e-06, 'epoch': 0.18}
{'loss': 19.5245, 'grad_norm': 4736577.0, 'learning_rate': 9.433636163826952e-06, 'epoch': 0.18}
{'loss': 19.6963, 'grad_norm': 3469232.5, 'learning_rate': 9.433421530654558e-06, 'epoch': 0.18}
{'loss': 20.2805, 'grad_norm': 18410928.0, 'learning_rate': 9.43320685926304e-06, 'epoch': 0.18}
